City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
5848280,Kapaa,US,22.08,-159.32,77.0,65,75,6.93
4020109,Atuona,PF,-9.8,-139.03,82.45,75,84,11.34
2194098,Ahipara,NZ,-35.17,173.17,65.34,66,36,6.89
3833367,Ushuaia,AR,-54.8,-68.3,41.0,81,20,5.82
3985710,Cabo San Lucas,MX,22.89,-109.91,68.47,60,75,10.29
1735106,George Town,MY,5.41,100.34,86.63,74,20,6.93
4513583,Hamilton,US,39.18,-84.53,38.46,69,1,5.12
1490256,Talnakh,RU,69.49,88.4,15.8,78,78,20.13
6355222,Yulara,AU,-25.24,130.99,82.4,18,9,4.7
3412093,Vestmannaeyjar,IS,63.44,-20.27,43.36,90,100,6.26
6089245,Norman Wells,CA,65.28,-126.83,30.2,36,75,4.36
4231997,Avera,US,33.19,-82.53,50.07,53,1,5.82
4036284,Alofi,NU,-19.06,-169.92,82.4,65,9,5.82
2264557,Ponta do Sol,PT,32.67,-17.1,60.64,68,20,11.41
964432,Port Alfred,ZA,-33.59,26.89,64.45,87,13,6.2
2244991,Tambacounda,SN,13.75,-13.76,78.04,39,0,8.12
3369157,Cape Town,ZA,-33.93,18.42,61.81,93,40,10.29
1651810,Airai,TL,-8.93,125.41,67.87,65,58,1.12
486186,Suoyarvi,RU,62.08,32.35,24.19,95,58,6.13
1726449,Basco,PH,20.45,121.97,76.08,74,94,10.36
2075265,Busselton,AU,-33.65,115.33,85.73,28,51,7.25
6165406,Thompson,CA,55.74,-97.86,30.2,58,90,2.24
3448351,São Pedro da Aldeia,BR,-22.84,-42.1,70.18,94,75,1.12
1106677,Bambous Virieux,MU,-20.34,57.76,77.0,83,40,6.93
4032243,Vaini,TO,-21.2,-175.2,80.6,65,20,8.05
2092164,Lorengau,PG,-2.02,147.27,83.93,73,65,3.85
2037485,Erenhot,CN,43.65,111.98,47.98,27,0,7.87
2206939,Bluff,NZ,-46.6,168.33,70.0,47,1,8.99
3831208,Qaanaaq,GL,77.48,-69.36,4.24,74,43,7.7
3652764,Puerto Ayora,EC,-0.74,-90.35,80.01,86,87,1.01
986717,Kruisfontein,ZA,-34.0,24.73,56.91,52,25,5.3
1254046,Tura,IN,25.52,90.22,87.4,24,0,5.99
3382160,Cayenne,GF,4.93,-52.33,80.6,88,95,2.24
1501460,Kulunda,RU,52.57,78.94,43.12,55,0,7.63
1267390,Kavaratti,IN,10.57,72.64,84.74,70,38,7.38
3122172,Foz,ES,43.57,-7.25,53.55,100,74,1.99
2036713,Huanren,CN,41.26,125.37,56.97,28,0,5.66
1279945,Jiuquan,CN,39.74,98.52,54.1,17,0,11.74
4011741,Durango,MX,24.83,-104.83,60.96,23,72,10.09
3883457,Lebu,CL,-37.62,-73.65,56.68,86,70,11.77
1529484,Kumul,CN,42.8,93.45,64.08,15,44,3.2
3443061,Chui,UY,-33.7,-53.46,61.29,83,0,4.23
934322,Mahébourg,MU,-20.41,57.7,77.0,83,40,6.93
964420,Port Elizabeth,ZA,-33.92,25.57,55.4,100,7,2.24
1045114,Inhambane,MZ,-23.86,35.38,70.43,76,5,4.47
1855342,Nishihara,JP,26.18,127.76,73.27,60,75,13.87
3874787,Punta Arenas,CL,-53.15,-70.92,41.0,80,20,13.87
1526041,Atasū,KZ,48.68,71.64,40.23,52,94,11.61
3980627,Valle de Allende,MX,26.93,-105.4,67.55,15,45,16.75
4362001,Mayo,US,38.89,-76.51,42.62,42,1,10.29
3471451,Arraial do Cabo,BR,-22.97,-42.03,69.8,94,75,1.12
6170031,Tuktoyaktuk,CA,69.45,-133.04,10.4,72,20,5.82
3424607,Tasiilaq,GL,65.61,-37.64,24.8,53,99,2.24
1185095,Teknāf,BD,20.86,92.31,86.23,57,6,3.02
4035715,Avarua,CK,-21.21,-159.78,84.2,83,100,9.17
1275619,Bilgi,IN,16.35,75.62,86.52,30,80,8.75
1503037,Kodinsk,RU,58.69,99.18,39.45,67,0,5.64
1720223,Callaguip,PH,18.07,120.49,84.2,74,20,6.93
777019,Vardø,NO,70.37,31.11,29.03,90,100,20.94
2168305,Dubbo,AU,-32.25,148.62,71.6,40,0,24.16
5735537,La Grande,US,45.32,-118.09,57.51,36,1,12.75
2155415,New Norfolk,AU,-42.78,147.06,53.42,58,75,20.8
2160517,Launceston,AU,-41.45,147.17,58.89,50,75,17.22
3407882,Altamira,BR,-3.2,-52.21,73.94,95,100,4.05
5106841,Albany,US,42.6,-73.97,37.18,60,75,13.87
3170094,Portoferraio,IT,42.81,10.31,46.4,75,0,2.24
2022572,Khatanga,RU,71.97,102.5,26.35,95,96,26.62
3418910,Upernavik,GL,72.79,-56.15,10.89,85,0,9.78
3372707,Ribeira Grande,PT,38.52,-28.7,61.54,73,97,4.7
1529651,Altay,CN,47.87,88.12,45.9,43,100,1.54
2121385,Severo-Kuril'sk,RU,50.68,156.12,31.59,94,52,4.94
2123621,Mago,RU,53.25,140.18,36.82,77,0,5.55
3451138,Rio Grande,BR,-32.03,-52.1,63.73,80,0,7.31
2156643,Mount Gambier,AU,-37.83,140.77,57.2,54,75,26.4
2112309,Katsuura,JP,35.13,140.3,57.83,44,20,9.17
1791779,Wanning,CN,18.8,110.4,80.02,72,81,6.96
3374333,Praia,CV,14.92,-23.51,73.4,78,78,18.34
5367788,Lompoc,US,34.64,-120.46,55.94,82,1,11.41
1516438,Zyryanovsk,KZ,49.74,84.27,33.15,72,0,1.9
2392087,Porto-Novo,BJ,6.5,2.6,80.6,88,40,2.24
2110227,Butaritari,KI,3.07,172.79,84.7,73,60,8.63
2015306,Tiksi,RU,71.69,128.87,25.56,93,89,33.26
962367,Richards Bay,ZA,-28.78,32.04,69.22,83,3,14.29
2063036,Port Lincoln,AU,-34.73,135.87,62.37,63,70,15.9
1623197,Tual,ID,-5.67,132.75,83.75,72,7,7.31
6162951,Terrace Bay,CA,48.78,-87.1,26.96,91,40,5.28
4030556,Rikitea,PF,-23.12,-134.97,77.65,74,14,9.86
2012956,Yerbogachën,RU,61.28,108.01,35.02,84,100,5.57
2216645,Hūn,LY,29.13,15.95,57.42,44,71,8.32
5528182,Pecos,US,31.42,-103.49,68.59,60,1,8.05
1819729,Hong Kong,HK,22.29,114.16,73.38,83,40,4.7
4031574,Provideniya,RU,64.38,-173.3,15.37,94,100,13.49
4255151,Bud,US,39.45,-86.18,41.97,56,1,4.7
2514301,Mahon,ES,39.89,4.27,51.8,87,8,6.93
6185377,Yellowknife,CA,62.46,-114.35,16.92,72,75,10.29
3466165,Cidreira,BR,-30.18,-50.21,62.73,82,7,4.36
3945985,Camaná,PE,-16.62,-72.71,72.09,78,91,6.22
6201424,Mataura,NZ,-46.19,168.86,70.0,47,0,8.99
4845585,Westport,US,41.14,-73.36,42.82,48,90,11.41
5983720,Iqaluit,CA,63.75,-68.51,14.0,78,75,2.24
2160735,Lakes Entrance,AU,-37.88,147.98,57.99,57,74,14.0
3451399,Ribas do Rio Pardo,BR,-20.44,-53.76,65.52,61,5,2.37
3393692,Itarema,BR,-2.92,-39.92,78.03,86,100,3.67
686090,Asău,RO,46.43,26.4,37.24,59,98,2.24
1507390,Dikson,RU,73.51,80.55,10.15,95,91,11.01
1512223,Abalak,RU,58.13,68.59,39.42,87,31,6.67
2712414,Gävle,SE,60.67,17.14,32.0,62,36,3.0
1006984,East London,ZA,-33.02,27.91,67.42,81,1,7.27
5882953,Aklavik,CA,68.22,-135.01,21.2,53,75,8.05
5039675,Northfield,US,44.46,-93.16,40.15,55,1,5.23
2629833,Husavik,IS,66.04,-17.34,28.4,92,40,9.17
2163355,Hobart,AU,-42.88,147.33,53.89,58,75,20.8
2281120,Tabou,CI,4.42,-7.35,79.39,84,50,3.47
1701054,Marawi,PH,8.0,124.29,82.85,43,14,5.73
6167817,Torbay,CA,47.67,-52.73,37.44,93,90,8.05
525426,Sobolevo,RU,54.43,31.9,35.71,78,99,6.04
2729907,Longyearbyen,SJ,78.22,15.64,-7.6,76,20,5.82
3421719,Narsaq,GL,60.92,-46.05,46.4,22,100,26.4
1637001,Biak,ID,-0.91,122.88,86.0,60,4,4.63
2090021,Namatanai,PG,-3.67,152.43,84.76,69,56,5.3
5861897,Fairbanks,US,64.84,-147.72,33.89,80,90,13.87
2128975,Nemuro,JP,43.32,145.57,35.6,55,40,10.29
3100127,Drezdenko,PL,52.84,15.83,36.82,81,11,4.63
2450173,Taoudenni,ML,22.68,-3.98,80.58,14,0,6.33
5282297,Bethel,US,41.37,-73.41,42.01,48,90,11.41
582447,Almaznyy,RU,48.04,40.05,46.4,81,40,8.95
2123814,Leningradskiy,RU,69.38,178.42,15.46,89,92,7.76
2638664,Salisbury,GB,51.07,-1.8,49.15,71,86,5.82
3359638,Walvis Bay,NA,-22.96,14.51,73.85,37,93,9.37
3466704,Castro,BR,-24.79,-50.01,55.53,72,42,5.37
475469,Verkhnetulomskiy,RU,68.61,31.8,15.8,85,100,2.24
2109528,Buala,SB,-8.14,159.59,84.04,75,49,8.41
2381334,Atar,MR,20.52,-13.05,78.71,19,0,10.96
1649150,Bengkulu,ID,-3.8,102.27,85.03,63,100,2.08
1015776,Bredasdorp,ZA,-34.53,20.04,62.6,82,100,8.05
367544,Sawākin,SD,19.11,37.33,73.02,69,61,11.99
5122534,Jamestown,US,42.1,-79.24,33.37,80,90,6.93
1495626,Pangody,RU,65.85,74.49,34.11,97,100,15.43
2155562,Nelson Bay,AU,-32.72,152.15,77.04,34,20,21.92
2074865,Carnarvon,AU,-24.87,113.63,82.4,69,32,8.05
4778626,Petersburg,US,37.23,-77.4,43.18,39,1,5.82
2618795,Klaksvík,FO,62.23,-6.59,46.4,100,100,6.93
3423146,Ilulissat,GL,69.22,-51.1,30.2,46,61,10.29
4565090,Guánica,PR,17.97,-66.91,78.1,75,0,5.39
1808198,Heze,CN,35.24,115.44,58.44,35,6,10.8
554486,Kagal'nik,RU,47.08,39.32,46.11,81,40,8.95
3870243,Taltal,CL,-25.4,-70.48,61.7,78,22,3.06
3372472,Vila Franca do Campo,PT,37.72,-25.43,59.0,72,20,9.17
3366880,Hermanus,ZA,-34.42,19.23,62.01,90,99,1.99
3416888,Grindavik,IS,63.84,-22.43,39.09,93,90,9.17
935215,Saint-Philippe,RE,-21.36,55.77,68.22,73,39,9.17
2109701,Auki,SB,-8.77,160.7,84.06,71,76,2.08
1215502,Banda Aceh,ID,5.56,95.32,85.55,69,28,7.94
3516171,Barra de Tecoanapa,MX,16.52,-98.75,78.26,81,4,2.68
128226,Kermanshah,IR,34.31,47.06,41.0,93,20,2.59
2017155,Saskylakh,RU,71.92,114.08,30.72,94,86,20.65
2122614,Okha,RU,53.57,142.95,32.31,92,0,7.34
155743,Lugoba,TZ,-6.45,38.33,70.3,90,16,4.52
1162105,Zhob,PK,31.34,69.45,67.6,29,40,2.46
